date,temp,spcond,sal,do_pct,do_mgl,depth,ph,turb,chlfluor
9/13/2017,21.91770833,10.64416667,6.053125,55.63854167,4.7,2.15375,6.809375,15.75,NA
9/14/2017,23.76354167,10.3028125,5.830208333,63.88541667,5.211458333,2.255,6.85625,12.39583333,NA
9/15/2017,25.81473684,12.19989474,6.974736842,70.52,5.498947368,2.313578947,7.228421053,13.35789474,NA
9/16/2017,27.64791667,12.711875,7.28125,92.034375,6.961458333,2.330104167,7.646875,12.88541667,NA
9/17/2017,28.871875,14.14666667,8.15625,84.90104167,6.257291667,2.348645833,7.586458333,13.70833333,NA
9/18/2017,29,13.33541667,7.652083333,74.21770833,5.476041667,2.316666667,7.275,12.75,NA
9/19/2017,29.13333333,13.355,7.657291667,73.04583333,5.378125,2.3128125,7.394791667,13.46875,NA
9/20/2017,29.22916667,12.72822917,7.266666667,62.67395833,4.621875,2.248854167,7.13125,13.86458333,NA
9/21/2017,29.68125,12.1234375,6.889583333,67.36354167,4.927083333,2.2634375,7.116666667,13.375,NA
9/22/2017,30.07708333,11.3690625,6.430208333,76.49895833,5.571875,2.2490625,6.985416667,14.83333333,NA
9/23/2017,30.25416667,10.89427083,6.139583333,82.315625,5.978125,2.278541667,6.9125,15.80208333,NA
9/24/2017,29.77708333,11.44520833,6.479166667,79.28854167,5.820833333,2.296458333,6.921875,24.48958333,NA
9/25/2017,28.925,11.75552083,6.675,104.803125,7.7875,2.357916667,6.985416667,42.29166667,NA
9/26/2017,29.18333333,12.6434375,7.214583333,100.9166667,7.422916667,2.3378125,7.035416667,85.80208333,NA
9/27/2017,29.865625,14.1784375,8.166666667,97.60416667,7.072916667,2.311145833,7.065625,84.94791667,NA
9/28/2017,30.271875,14.86364583,8.584375,112.128125,8.042708333,2.319791667,7.2,17.4375,NA
9/29/2017,29.48229167,17.72520833,10.415625,94.175,6.791666667,2.288333333,7.475,13.94791667,NA
9/30/2017,27.60520833,19.09302083,11.30729167,64.10729167,4.74375,2.2890625,7.528125,18.77083333,NA
10/1/2017,26.63958333,17.89114583,10.54791667,72.74375,5.513541667,2.327083333,7.696875,9.697916667,NA
10/2/2017,23.70520833,17.82458333,10.5375,72.809375,5.808333333,2.500208333,7.939583333,9.270833333,NA
10/3/2017,23.53645833,22.47385417,13.56666667,37.834375,2.973958333,2.530625,7.336458333,10.33333333,NA
